playerName,tag,shipName,type,class,tier,lastBattle,lastUpdated,battles,winRatio,survivalRatio,survivedWins,survivalWinRatio,playerRating,adjustedRating,averageDamage,averageKills,mainBatteryAccuracy,maxDamage,maxPotentialDamage,shipsSpotted,averageShipsSpotted,averageRamKills,averageSecondaryKills,torpedoKills,torpedoAccuracy,averageScoutingDamage,maxScoutingDamage,baseCaptures,baseDefense
Eviscerator29,R-SKY,Yueyang,Random,Destroyer,10,8/26/2023,8/26/2023,38,0.5263,0.3684,13,0.65,1130,1130,50239.08,0.84,2.3197,134951,1431206,76,2,0,0,13,11.6957,57282.3684,141890,1602,107
Eviscerator29,R-SKY,Grosser Kurfürst,Random,Battleship,10,12/13/2022,12/13/2022,8,0.5,0.25,2,0.5,1509,364.2414,83511,0.88,3.1195,183911,3551899,2,0.25,0.125,0.375,0,0,16969.5,51878,23,24
Eviscerator29,R-SKY,Khabarovsk,Random,Destroyer,10,10/19/2022,10/19/2022,1,1,0,0,0,1692,0,69544,0,0,69544,1082850,0,0,0,0,0,0,21132,21132,21,48
Eviscerator29,R-SKY,Vermont,Random,Battleship,10,9/6/2023,9/6/2023,1,0,0,0,0,1466,0,119170,1,3.3462,119170,3621716,1,1,0,0,0,0,19239,19239,0,0
Eviscerator29,R-SKY,Worcester,Random,Cruiser,10,12/25/2022,12/25/2022,38,0.4211,0.2368,8,0.5,753,753,47035,0.45,4.0405,122358,1862103,13,0.34,0,0,0,0,18249.8947,77870,75,93
Eviscerator29,R-SKY,Bourgogne,Random,Battleship,10,4/14/2023,4/14/2023,164,0.561,0.3902,57,0.6196,1149,1149,110268.7,0.85,3.0471,237474,3739736,20,0.12,0.0061,0.0366,0,0,20120.1768,88018,364,791
Eviscerator29,R-SKY,Schlieffen,Random,Battleship,10,9/11/2023,9/11/2023,182,0.6044,0.2967,49,0.4455,1348,1348,84701.92,0.77,2.7566,218718,3120699,48,0.26,0,0.2912,10,61.8462,21607.6813,101322,989,1448
Eviscerator29,R-SKY,Thunderer,Random,Battleship,10,7/12/2023,7/12/2023,439,0.5285,0.4032,154,0.6638,1344,1344,109163.16,0.85,3.0623,291064,3979467,38,0.09,0,0.0046,0,0,18940.4715,104431,1140,2127
Eviscerator29,R-SKY,Ohio,Random,Battleship,10,8/7/2023,8/7/2023,10,0.1,0.1,1,1,1006,312.2069,99321.9,0.7,2.9906,189803,3941400,0,0,0,0,0,0,11191.4,54143,0,77
Eviscerator29,R-SKY,Jinan,Random,Cruiser,10,7/11/2023,7/11/2023,35,0.4857,0.2571,8,0.4706,593,593,38903.63,0.4,3.4689,104062,1204121,14,0.4,0,0,3,26.9318,24653.8571,106291,249,377
Eviscerator29,R-SKY,Mecklenburg,Random,Battleship,10,8/7/2023,8/7/2023,80,0.4375,0.3,20,0.5714,992,992,98506.09,0.82,3.0323,205889,3106167,10,0.13,0,0.125,1,58.4,18886.7125,72773,399,936
Eviscerator29,R-SKY,Yoshino,Random,Cruiser,10,9/16/2023,9/16/2023,33,0.4545,0.303,9,0.6,1219,1219,81313.91,0.7,2.8233,201859,2113200,6,0.18,0,0.0606,2,35.3333,16959.5455,54277,90,410
Eviscerator29,R-SKY,Minotaur,Random,Cruiser,10,12/9/2022,2/12/2023,3,0.3333,0.6667,1,1,1475,101.7241,87586,0.67,3.454,95247,1783234,0,0,0,0,0,0,29993.3333,33147,0,0
Eviscerator29,R-SKY,St. Vincent,Random,Battleship,10,8/3/2023,8/3/2023,37,0.5946,0.4324,13,0.5909,1480,1480,116354.81,1.19,2.8998,223277,3110300,6,0.16,0,0,2,15.2,18123.9189,62366,193,340
